,Unnamed: 0,Company,Means,Medians,Variances,Skews
0,0,BPCL,1.47,1.37,1,1.28
1,1,Bajaj Auto,1.06,0.96,0.81,0.99
2,2,Bajaj Finance,1.23,1.14,0.78,0.8
3,3,Bajaj Finserv,0.95,0.83,0.8,0.81
4,4,Bharti Infratel,0.86,0.65,0.78,1.68
5,5,Britannia,1,0.84,0.9,1.08
6,6,Cipla,0.75,0.52,0.79,1.54
7,7,Coal India,1.23,1.06,1.06,1.47
8,8,Eicher,0.85,0.69,0.72,0.96
9,9,GAIL,0.87,0.62,0.71,1.2
10,10,Grasim,0.91,0.64,1.08,1.52
11,11,HCL,0.93,0.8,0.7,1.54
12,12,HDFC Bank,1.33,1.29,0.63,0.7
13,13,HDFC,1.39,1.36,0.34,0.7
14,14,Hero MotoCorp,1.01,0.88,0.68,0.85
15,15,Hindalco,0.88,0.64,0.83,1.14
16,16,ICICI Bank,1.56,1.48,0.6,1.35
17,17,ITC,1.29,1.22,0.77,1.04
18,18,IndusInd Bank,1.14,1.01,0.85,0.93
19,19,Infosys,1.46,1.28,0.96,1.46
20,20,JSW Steel,1.44,1.26,1.18,1.14
21,21,Kotak Mahindra Bank,1.35,1.3,0.8,0.83
22,22,L&T,1.16,1.08,0.57,1.34
23,23,Maruti Suzuki,1.23,1.09,0.82,1.53
24,24,NTPC,1.1,0.97,0.86,1.28
25,25,ONGC,1.21,1.02,0.91,1.2
26,26,PowerGrid Corporation,1,0.83,0.94,1.26
27,27,Dr Reddy's,0.88,0.52,1.71,3.45
28,28,Adani,1.1,0.97,0.71,0.96
29,29,Airtel,1.36,1.25,0.64,1.08
30,30,Asian Paints,1.27,1.16,1.07,0.97
31,31,Axis Bank,1.38,1.3,0.84,0.55
32,32,UPL,0.87,0.65,0.95,1.13
33,33,Mahindra and Mahindra,1.18,1.03,0.85,1.27
34,34,IOC,0.94,0.78,0.74,1.63
35,35,Reliance,1.61,1.52,0.41,0.87
36,36,Shree Cement,0.92,0.74,0.78,1.07
37,37,State Bank,1.68,1.58,0.53,1.91
38,38,Sun Pharma,1.28,1.18,1.14,1.4
39,39,Tata Motors,1.16,1.03,0.58,0.97
40,40,Tata Steel,1.49,1.37,0.95,0.92
41,41,TCS,1.2,1.11,0.57,1.28
42,42,Tech Mahindra,0.96,0.77,0.73,1.2
43,43,Titan,0.58,0.38,0.56,1.61
44,44,UltraTech,1.33,1.17,1.4,0.85
45,45,Vedanta,1.53,1.34,1.4,1.08
46,46,Wipro,1.04,0.94,0.67,1.95
47,47,Zee,0.95,0.71,0.93,1.45
48,48,Nestle,1.09,1.02,0.78,0.95
49,49,HUL,1.2,1.09,0.78,1.05